date,mrr,arr,revenue,costs,gross_margin_pct,new_customers,churned_customers,active_customers,churn_rate,arpu,cac,ltv,ltv_cac_ratio,leads,mql,sql,dau,mau,nps,support_tickets,expansion_mrr,contraction_mrr,reactivation_mrr,gross_revenue_retention_pct,net_revenue_retention_pct,enterprise_customers,mid_market_customers,smb_customers,pipeline_coverage,win_rate_pct,support_sla_pct,onboarding_days,focus_segment,primary_channel,product_launch,top_new_logos,top_expansion_accounts,churned_accounts,customer_story,risk_signal
2021-05,225753,2709036,225753,75402,66.6,19,7,246,0.032,917.7,1215,4235,3.49,462,141,46,5172,13326,41,88,3500,1093,400,92.0,105.3,26,70,150,2.09,19.9,93.0,40,Mid-market operacional,Outbound consultivo,Automacoes de CS e playbooks de sucesso,Rota Sul Transportes | Nova Midia | BelaCasa Home,Conecta ERP | NorteSul Atacado | Brava Alimentos,Casa do Pao | Atelie Lagoa,Brava Alimentos ampliou para 20 unidades e puxou parte do expansion MRR do mes.,CS operou no limite com aceleracao de novos contratos.
2021-06,239230,2870760,239230,79424,66.8,20,8,258,0.031,927.25,1204,4309,3.58,489,150,49,5445,14011,41,90,3560,1144,400,92.1,105.4,28,74,156,2.1,20.1,93.1,39,Mid-market operacional,Outbound consultivo,Automacoes de CS e playbooks de sucesso,BelaCasa Home | Cafe do Centro | Estacao Fit,NorteSul Atacado | Brava Alimentos | Instituto Ponte,Restaurante Brasa | Loja Horizonte,Instituto Ponte ampliou para 22 unidades e puxou parte do expansion MRR do mes.,CS operou no limite com aceleracao de novos contratos.
2021-07,254096,3049152,254096,83852,67.0,21,8,271,0.031,937.62,1195,4388,3.67,520,160,52,5741,14753,42,92,3867,1206,401,92.1,105.5,30,78,163,2.1,20.2,93.3,39,Mid-market multiunidade,Parcerias de implantacao,Gestao por unidade e score de risco,Estacao Fit | Amparo Beneficios | Serra Azul Resorts,Brava Alimentos | Instituto Ponte | UrbanHub Imoveis,Boutique Solar | Academia Sete,UrbanHub Imoveis ampliou para 6 unidades e puxou parte do expansion MRR do mes.,Renovacoes ficaram mais longas em clientes com varias unidades.
2021-08,269490,3233880,269490,88393,67.2,21,8,284,0.03,948.91,1187,4471,3.77,554,171,56,6040,15500,42,94,4192,1275,429,92.2,105.6,32,82,170,2.1,20.4,93.5,38,Mid-market multiunidade,Parcerias de implantacao,Gestao por unidade e score de risco,Serra Azul Resorts | VivaPet | Alfa Contabil,Instituto Ponte | UrbanHub Imoveis | Ferrum Autopecas,Espaco Viver | Ciclo Urbano,Ferrum Autopecas ampliou para 8 unidades e puxou parte do expansion MRR do mes.,Renovacoes ficaram mais longas em clientes com varias unidades.
2021-09,284492,3413904,284492,92744,67.4,21,9,296,0.03,961.12,1179,4560,3.87,590,183,60,6319,16195,43,96,4512,1345,460,92.3,105.7,34,86,176,2.11,20.5,93.7,37,Mid-market multiunidade,Parcerias de implantacao,Gestao por unidade e score de risco,Alfa Contabil | Studio Forma | Mercato Gourmet,UrbanHub Imoveis | Ferrum Autopecas | ViaMobi,Studio Aurora Pilates | Padaria Avenida,ViaMobi ampliou para 10 unidades e puxou parte do expansion MRR do mes.,Renovacoes ficaram mais longas em clientes com varias unidades.
2021-10,301039,3612468,301039,97537,67.6,22,9,309,0.03,974.24,1172,4653,3.97,625,195,64,6621,16948,44,99,4804,1413,489,92.5,105.9,36,90,183,2.11,20.7,93.9,36,Mid-market multiunidade,Parcerias de implantacao,Gestao por unidade e score de risco,Mercato Gourmet | Delta Facilities | Ribeira Foods,Ferrum Autopecas | ViaMobi | Solis Solar,Casa do Pao | Atelie Lagoa,Solis Solar ampliou para 12 unidades e puxou parte do expansion MRR do mes.,Renovacoes ficaram mais longas em clientes com varias unidades.
2021-11,318184,3818208,318184,102773,67.7,22,9,322,0.03,988.15,1165,4751,4.08,659,206,68,6926,17705,44,101,5097,1487,522,92.6,106.0,38,94,190,2.11,20.9,94.1,35,Mid-market multiunidade,Parcerias de implantacao,Gestao por unidade e score de risco,Ribeira Foods | Padaria Lisboa | MoveOn Coworking,ViaMobi | Solis Solar | Rede Maralto,Restaurante Brasa | Loja Horizonte,Rede Maralto ampliou para 14 unidades e puxou parte do expansion MRR do mes.,Renovacoes ficaram mais longas em clientes com varias unidades.
2021-12,335908,4030896,335908,107491,68.0,23,10,335,0.03,1002.71,1158,4854,4.19,691,217,71,7233,18465,45,104,5375,1564,557,92.7,106.2,40,98,197,2.11,21.1,94.3,35,Mid-market multiunidade,Parcerias de implantacao,Gestao por unidade e score de risco,MoveOn Coworking | Jardim Botanico Hotel | Otica Central,Solis Solar | Rede Maralto | Colegio Horizonte,Boutique Solar | Academia Sete,Colegio Horizonte ampliou para 16 unidades e puxou parte do expansion MRR do mes.,Renovacoes ficaram mais longas em clientes com varias unidades.
2022-01,354169,4250028,354169,112626,68.2,23,10,348,0.029,1017.73,1151,4959,4.31,720,226,75,7541,19228,46,107,5642,1643,593,92.9,106.5,42,102,204,2.11,21.4,94.6,34,"Saude, fintech e logistica",ABM leve + referrals,Relatorios executivos e cohorts,Otica Central | Farmacia Uniao | Construtora Venturo,Rede Maralto | Colegio Horizonte | Hospital Santa Aurora,Loja Horizonte | Papelaria Modelo,Hospital Santa Aurora ampliou para 18 unidades e puxou parte do expansion MRR do mes.,Ciclos com compliance aumentaram em saude e fintech.
2022-02,372905,4474860,372905,117838,68.4,23,10,361,0.029,1032.98,1142,5067,4.44,745,235,78,7853,19996,47,110,5955,1746,631,93.0,106.7,44,107,210,2.12,21.6,94.8,34,"Saude, fintech e logistica",ABM leve + referrals,Relatorios executivos e cohorts,Construtora Venturo | Portal Cursos | EcoTrack,Colegio Horizonte | Hospital Santa Aurora | Grupo Prisma Varejo,Academia Sete | Odonto Prime,Grupo Prisma Varejo ampliou para 20 unidades e puxou parte do expansion MRR do mes.,Ciclos com compliance aumentaram em saude e fintech.
2022-03,393080,4716960,393080,123427,68.6,24,10,375,0.029,1048.21,1132,5175,4.57,765,242,80,8188,20822,49,113,6327,1875,670,93.2,107.1,47,111,217,2.12,21.9,95.0,33,"Saude, fintech e logistica",ABM leve + referrals,Relatorios executivos e cohorts,EcoTrack | Fio Nobre Textil | Sabor e Mesa,Hospital Santa Aurora | Grupo Prisma Varejo | AtlasPay,Ciclo Urbano | Bazar Paulista,AtlasPay ampliou para 22 unidades e puxou parte do expansion MRR do mes.,Ciclos com compliance aumentaram em saude e fintech.
2022-04,412519,4950228,412519,128293,68.9,24,11,388,0.029,1063.19,1120,5284,4.72,781,248,83,8503,21596,50,117,6729,2005,712,93.3,107.4,49,115,224,2.12,22.2,95.2,33,"Saude, fintech e logistica",ABM leve + referrals,Relatorios executivos e cohorts,Sabor e Mesa | Hospital Santa Aurora | Grupo Prisma Varejo,Grupo Prisma Varejo | AtlasPay | VerdeLog,Fiore Clinica Integrada | Rota Sul Transportes,VerdeLog ampliou para 6 unidades e puxou parte do expansion MRR do mes.,Ciclos com compliance aumentaram em saude e fintech.
2022-05,432151,5185812,432151,133103,69.2,24,11,401,0.028,1077.68,1107,5390,4.87,793,253,84,8821,22374,51,121,7125,2116,754,93.5,107.7,51,120,230,2.13,22.4,95.4,32,"Saude, fintech e logistica",ABM leve + referrals,Relatorios executivos e cohorts,Grupo Prisma Varejo | AtlasPay | VerdeLog,AtlasPay | VerdeLog | Orbe Educacao,BelaCasa Home | Cafe do Centro,Orbe Educacao ampliou para 8 unidades e puxou parte do expansion MRR do mes.,Ciclos com compliance aumentaram em saude e fintech.
2022-06,452965,5435580,452965,138154,69.5,25,11,415,0.028,1091.48,1092,5494,5.03,803,257,86,9163,23212,52,126,7530,2208,796,93.6,108.1,54,124,237,2.14,22.7,95.5,32,"Saude, fintech e logistica",ABM leve + referrals,Relatorios executivos e cohorts,VerdeLog | Orbe Educacao | Central Farma,VerdeLog | Orbe Educacao | Central Farma,Amparo Beneficios | Serra Azul Resorts,Central Farma ampliou para 10 unidades e puxou parte do expansion MRR do mes.,Ciclos com compliance aumentaram em saude e fintech.
2022-07,472692,5672304,472692,142753,69.8,24,11,428,0.028,1104.42,1075,5595,5.2,811,260,87,9485,23997,53,130,7961,2282,841,93.8,108.5,56,129,243,2.15,23.0,95.7,31,Operacoes e atendimento,Parcerias + base de clientes,BI operacional e alertas de churn,Central Farma | Aurora Energia | Porto Vivo Hoteis,Orbe Educacao | Central Farma | Aurora Energia,Alfa Contabil | Studio Forma,Aurora Energia ampliou para 12 unidades e puxou parte do expansion MRR do mes.,Tickets de suporte cresceram nas semanas de rollout do BI.
2022-08,493445,5921340,493445,147047,70.2,26,12,442,0.027,1116.39,1057,5692,5.39,820,264,89,9832,24842,54,135,8380,2326,885,94.0,108.9,59,133,250,2.16,23.3,95.8,31,Operacoes e atendimento,Parcerias + base de clientes,BI operacional e alertas de churn,Porto Vivo Hoteis | Nexa Saude | Lumen Telecom,Central Farma | Aurora Energia | Porto Vivo Hoteis,Delta Facilities | Ribeira Foods,Porto Vivo Hoteis ampliou para 14 unidades e puxou parte do expansion MRR do mes.,Tickets de suporte cresceram nas semanas de rollout do BI.
2022-09,512938,6155256,512938,151317,70.5,25,12,455,0.027,1127.34,1037,5784,5.58,829,267,90,10158,25634,55,141,8823,2357,932,94.1,109.3,61,138,256,2.18,23.6,95.9,31,Operacoes e atendimento,Parcerias + base de clientes,BI operacional e alertas de churn,Lumen Telecom | AgroVista | Omnia Logistica,Aurora Energia | Porto Vivo Hoteis | Nexa Saude,MoveOn Coworking | Jardim Botanico Hotel,Nexa Saude ampliou para 16 unidades e puxou parte do expansion MRR do mes.,Tickets de suporte cresceram nas semanas de rollout do BI.
2022-10,533376,6400512,533376,155212,70.9,26,12,469,0.026,1137.26,1016,5871,5.78,841,272,92,10510,26487,55,146,9295,2391,976,94.3,109.7,64,142,263,2.2,23.9,95.9,31,Operacoes e atendimento,Parcerias + base de clientes,BI operacional e alertas de churn,Omnia Logistica | Clinix Diagnosticos | Vertice Capital,Porto Vivo Hoteis | Nexa Saude | Lumen Telecom,Farmacia Uniao | Construtora Venturo,Lumen Telecom ampliou para 18 unidades e puxou parte do expansion MRR do mes.,Tickets de suporte cresceram nas semanas de rollout do BI.
2022-11,553632,6643584,553632,158892,71.3,26,12,483,0.026,1146.24,995,5955,5.98,856,278,94,10863,27343,56,151,9883,2473,1023,94.4,110.1,66,147,270,2.22,24.2,96.0,31,Operacoes e atendimento,Parcerias + base de clientes,BI operacional e alertas de churn,Vertice Capital | GridFlex Energia | LinkCom Telecom,Nexa Saude | Lumen Telecom | AgroVista,EcoTrack | Fio Nobre Textil,AgroVista ampliou para 20 unidades e puxou parte do expansion MRR do mes.,Tickets de suporte cresceram nas semanas de rollout do BI.
2022-12,573729,6884748,573729,162365,71.7,26,12,497,0.025,1154.38,972,6034,6.21,875,285,97,11219,28203,56,157,10455,2552,1071,94.5,110.4,69,152,276,2.24,24.5,96.0,30,Operacoes e atendimento,Parcerias + base de clientes,BI operacional e alertas de churn,LinkCom Telecom | Maxxi Operacoes | Prisma Engenharia,Lumen Telecom | AgroVista | Omnia Logistica,Studio Aurora Pilates | Padaria Avenida,Omnia Logistica ampliou para 22 unidades e puxou parte do expansion MRR do mes.,Tickets de suporte cresceram nas semanas de rollout do BI.
2023-01,592559,7110708,592559,165324,72.1,25,12,510,0.024,1161.88,950,6111,6.43,898,293,100,11554,29009,57,163,10994,2630,1118,94.7,110.8,72,156,282,2.26,24.7,96.1,30,Enterprise multiunidade,ABM enterprise,Forecast comercial e revenue cockpit,Prisma Engenharia | Triunfo Facilities | ValeSeguro,AgroVista | Omnia Logistica | Clinix Diagnosticos,Casa do Pao | Atelie Lagoa,Clinix Diagnosticos ampliou para 6 unidades e puxou parte do expansion MRR do mes.,Dependencia de poucos deals enterprise elevou a variacao do pipeline.
2023-02,612522,7350264,612522,168444,72.5,26,12,524,0.023,1168.94,928,6185,6.66,926,303,103,11915,29877,57,168,11461,2702,1164,94.8,111.1,75,161,288,2.29,25.0,96.1,30,Enterprise multiunidade,ABM enterprise,Forecast comercial e revenue cockpit,ValeSeguro | Conecta ERP | NorteSul Atacado,Omnia Logistica | Clinix Diagnosticos | Vertice Capital,Restaurante Brasa | Loja Horizonte,Vertice Capital ampliou para 8 unidades e puxou parte do expansion MRR do mes.,Dependencia de poucos deals enterprise elevou a variacao do pipeline.
2023-03,632575,7590900,632575,171428,72.9,26,12,538,0.023,1175.79,907,6260,6.9,958,315,108,12278,30748,57,174,11894,2777,1213,94.9,111.4,78,166,294,2.32,25.2,96.1,30,Enterprise multiunidade,ABM enterprise,Forecast comercial e revenue cockpit,NorteSul Atacado | Brava Alimentos | Instituto Ponte,Clinix Diagnosticos | Vertice Capital | GridFlex Energia,Boutique Solar | Academia Sete,GridFlex Energia ampliou para 10 unidades e puxou parte do expansion MRR do mes.,Dependencia de poucos deals enterprise elevou a variacao do pipeline.
2023-04,652844,7834128,652844,173657,73.4,26,12,552,0.022,1182.69,886,6334,7.15,992,327,112,12644,31623,57,179,12275,2852,1262,95.0,111.7,81,171,300,2.35,25.4,96.1,29,Enterprise multiunidade,ABM enterprise,Forecast comercial e revenue cockpit,Instituto Ponte | UrbanHub Imoveis | Ferrum Autopecas,Vertice Capital | GridFlex Energia | LinkCom Telecom,Espaco Viver | Ciclo Urbano,LinkCom Telecom ampliou para 12 unidades e puxou parte do expansion MRR do mes.,Dependencia de poucos deals enterprise elevou a variacao do pipeline.
2023-05,673471,8081652,673471,176449,73.8,26,12,566,0.021,1189.88,867,6411,7.39,1028,340,117,13012,32502,58,185,12616,2927,1312,95.0,111.9,84,176,306,2.38,25.7,96.2,29,Enterprise multiunidade,ABM enterprise,Forecast comercial e revenue cockpit,Ferrum Autopecas | ViaMobi | Solis Solar,GridFlex Energia | LinkCom Telecom | Maxxi Operacoes,Casa Norte | Fiore Clinica Integrada,Maxxi Operacoes ampliou para 14 unidades e puxou parte do expansion MRR do mes.,Dependencia de poucos deals enterprise elevou a variacao do pipeline.
2023-06,695795,8349540,695795,179515,74.2,27,12,581,0.02,1197.58,849,6491,7.65,1064,353,122,13405,33442,58,190,12967,3017,1364,95.1,112.1,87,181,313,2.41,25.8,96.2,29,Enterprise multiunidade,ABM enterprise,Forecast comercial e revenue cockpit,Solis Solar | Rede Maralto | Colegio Horizonte,LinkCom Telecom | Maxxi Operacoes | Prisma Engenharia,Nova Midia | BelaCasa Home,Prisma Engenharia ampliou para 16 unidades e puxou parte do expansion MRR do mes.,Dependencia de poucos deals enterprise elevou a variacao do pipeline.
2023-07,717565,8610780,717565,182262,74.6,25,11,595,0.02,1205.99,833,6576,7.89,1100,366,126,13778,34328,58,195,13503,3189,1420,95.2,112.3,90,186,319,2.45,26.0,96.2,28,Enterprise + analytics,Eventos + outbound enterprise,Workspace executivo e score de expansao,Colegio Horizonte | Casa Norte | Fiore Clinica Integrada,Maxxi Operacoes | Prisma Engenharia | Triunfo Facilities,Estacao Fit | Amparo Beneficios,Triunfo Facilities ampliou para 18 unidades e puxou parte do expansion MRR do mes.,Implementacoes maiores pressionaram o SLA em projetos criticos.
2023-08,740087,8881044,740087,185762,74.9,25,11,609,0.019,1215.25,819,6665,8.14,1133,378,131,14153,35219,58,199,14035,3348,1475,95.2,112.4,93,191,325,2.48,26.2,96.3,28,Enterprise + analytics,Eventos + outbound enterprise,Workspace executivo e score de expansao,Fiore Clinica Integrada | Rota Sul Transportes | Nova Midia,Prisma Engenharia | Triunfo Facilities | ValeSeguro,VivaPet | Alfa Contabil,ValeSeguro ampliou para 20 unidades e puxou parte do expansion MRR do mes.,Implementacoes maiores pressionaram o SLA em projetos criticos.
2023-09,763454,9161448,763454,188573,75.3,25,11,623,0.018,1225.45,806,6761,8.39,1162,389,135,14531,36113,59,203,14588,3485,1533,95.2,112.6,96,196,331,2.52,26.3,96.4,27,Enterprise + analytics,Eventos + outbound enterprise,Workspace executivo e score de expansao,Nova Midia | BelaCasa Home | Cafe do Centro,Triunfo Facilities | ValeSeguro | Conecta ERP,Mercato Gourmet | Delta Facilities,Conecta ERP ampliou para 22 unidades e puxou parte do expansion MRR do mes.,Implementacoes maiores pressionaram o SLA em projetos criticos.
2023-10,787725,9452700,787725,191417,75.7,25,11,637,0.018,1236.62,795,6862,8.63,1188,399,139,14911,37011,59,207,15166,3593,1593,95.3,112.7,100,201,336,2.56,26.5,96.5,27,Enterprise + analytics,Eventos + outbound enterprise,Workspace executivo e score de expansao,Cafe do Centro | Estacao Fit | Amparo Beneficios,ValeSeguro | Conecta ERP | NorteSul Atacado,Padaria Lisboa | MoveOn Coworking,NorteSul Atacado ampliou para 6 unidades e puxou parte do expansion MRR do mes.,Implementacoes maiores pressionaram o SLA em projetos criticos.
2023-11,814168,9770016,814168,195400,76.0,26,11,652,0.017,1248.72,785,6970,8.88,1209,407,142,15317,37971,60,211,15768,3664,1656,95.3,112.7,103,207,342,2.59,26.6,96.6,26,Enterprise + analytics,Eventos + outbound enterprise,Workspace executivo e score de expansao,Amparo Beneficios | Serra Azul Resorts | VivaPet,Conecta ERP | NorteSul Atacado | Brava Alimentos,Otica Central | Farmacia Uniao,Brava Alimentos ampliou para 8 unidades e puxou parte do expansion MRR do mes.,Implementacoes maiores pressionaram o SLA em projetos criticos.
2023-12,840279,10083348,840279,199146,76.3,25,11,666,0.016,1261.68,777,7083,9.12,1226,414,145,15702,38876,60,214,16421,3704,1724,95.3,112.8,106,212,348,2.63,26.7,96.8,25,Enterprise + analytics,Eventos + outbound enterprise,Workspace executivo e score de expansao,VivaPet | Alfa Contabil | Studio Forma,NorteSul Atacado | Brava Alimentos | Instituto Ponte,Portal Cursos | EcoTrack,Instituto Ponte ampliou para 10 unidades e puxou parte do expansion MRR do mes.,Implementacoes maiores pressionaram o SLA em projetos criticos.
2024-01,868505,10422060,868505,203230,76.6,26,11,681,0.016,1275.34,769,7200,9.36,1240,420,147,16113,39844,61,218,17076,3707,1792,95.4,112.9,110,217,354,2.66,26.8,96.9,25,"Saude, energia e servicos financeiros",ABM + customer marketing,Copiloto de insights e automacao de QBR,Studio Forma | Mercato Gourmet | Delta Facilities,Brava Alimentos | Instituto Ponte | UrbanHub Imoveis,Sabor e Mesa | Studio Aurora Pilates,UrbanHub Imoveis ampliou para 12 unidades e puxou parte do expansion MRR do mes.,Parte do crescimento dependeu de expansao em clientes grandes.
